cd,precinct_code,county_code,county,precinct_name
5,1238977,2,Anoka,COLUMBIA HEIGHTS P-1
5,1238978,2,Anoka,COLUMBIA HEIGHTS P-2
5,1238979,2,Anoka,COLUMBIA HEIGHTS P-3
5,1238980,2,Anoka,COLUMBIA HEIGHTS P-4
5,1238981,2,Anoka,COLUMBIA HEIGHTS P-5
5,1238982,2,Anoka,COLUMBIA HEIGHTS P-6
5,1238983,2,Anoka,COLUMBIA HEIGHTS P-7
5,1238984,2,Anoka,COLUMBIA HEIGHTS P-8
5,1239010,2,Anoka,FRIDLEY W-1 P-1
5,1239011,2,Anoka,FRIDLEY W-1 P-2
5,1239012,2,Anoka,FRIDLEY W-1 P-3
5,1239013,2,Anoka,FRIDLEY W-1 P-4
5,1239014,2,Anoka,FRIDLEY W-2 P-1
5,1239015,2,Anoka,FRIDLEY W-2 P-2
5,1239016,2,Anoka,FRIDLEY W-2 P-3
5,1239017,2,Anoka,FRIDLEY W-2 P-4
5,1239018,2,Anoka,FRIDLEY W-3 P-1
5,1239019,2,Anoka,FRIDLEY W-3 P-2
5,1239020,2,Anoka,FRIDLEY W-3 P-3
5,1239021,2,Anoka,FRIDLEY W-3 P-4
5,1239028,2,Anoka,HILLTOP P-1
5,1239049,2,Anoka,SPRING LAKE PARK P-1A
5,1239050,2,Anoka,SPRING LAKE PARK P-2
5,1239051,2,Anoka,SPRING LAKE PARK P-3
5,1240018,27,Hennepin,BROOKLYN CENTER P-01
5,1240019,27,Hennepin,BROOKLYN CENTER P-02
5,1240020,27,Hennepin,BROOKLYN CENTER P-03
5,1240021,27,Hennepin,BROOKLYN CENTER P-04
5,1240022,27,Hennepin,BROOKLYN CENTER P-05
5,1240023,27,Hennepin,BROOKLYN CENTER P-06
5,1240024,27,Hennepin,BROOKLYN CENTER P-07
5,1240054,27,Hennepin,CRYSTAL W-1 P-01
5,1240055,27,Hennepin,CRYSTAL W-1 P-02
5,1240387,27,Hennepin,CRYSTAL W-1 P-03
5,1240056,27,Hennepin,CRYSTAL W-2 P-01
5,1240057,27,Hennepin,CRYSTAL W-2 P-02
5,1240388,27,Hennepin,CRYSTAL W-2 P-03
5,1240058,27,Hennepin,CRYSTAL W-3 P-01
5,1240059,27,Hennepin,CRYSTAL W-3 P-02
5,1240389,27,Hennepin,CRYSTAL W-3 P-03
5,1240060,27,Hennepin,CRYSTAL W-4 P-01
5,1240061,27,Hennepin,CRYSTAL W-4 P-02
5,1240089,27,Hennepin,EDINA P-03
5,1240090,27,Hennepin,EDINA P-04
5,1240094,27,Hennepin,EDINA P-08
5,1240095,27,Hennepin,EDINA P-09
5,1240100,27,Hennepin,EDINA P-14
5,1240107,27,Hennepin,FORT SNELLING P-01
5,1240108,27,Hennepin,GOLDEN VALLEY P-1
5,1240109,27,Hennepin,GOLDEN VALLEY P-2
5,1240110,27,Hennepin,GOLDEN VALLEY P-3
5,1240111,27,Hennepin,GOLDEN VALLEY P-4
5,1240112,27,Hennepin,GOLDEN VALLEY P-5
5,1240113,27,Hennepin,GOLDEN VALLEY P-6
5,1240114,27,Hennepin,GOLDEN VALLEY P-7
5,1240115,27,Hennepin,GOLDEN VALLEY P-8
5,1240119,27,Hennepin,HOPKINS P-01
5,1240120,27,Hennepin,HOPKINS P-02
5,1240121,27,Hennepin,HOPKINS P-03
5,1240122,27,Hennepin,HOPKINS P-04
5,1240123,27,Hennepin,HOPKINS P-05
5,1240124,27,Hennepin,HOPKINS P-06
5,1240154,27,Hennepin,MINNEAPOLIS W-1 P-01
5,1240155,27,Hennepin,MINNEAPOLIS W-1 P-02
5,1240156,27,Hennepin,MINNEAPOLIS W-1 P-03
5,1240157,27,Hennepin,MINNEAPOLIS W-1 P-04
5,1240158,27,Hennepin,MINNEAPOLIS W-1 P-05
5,1240159,27,Hennepin,MINNEAPOLIS W-1 P-06
5,1240160,27,Hennepin,MINNEAPOLIS W-1 P-07
5,1240161,27,Hennepin,MINNEAPOLIS W-1 P-08
5,1240162,27,Hennepin,MINNEAPOLIS W-1 P-09
5,1240398,27,Hennepin,MINNEAPOLIS W-1 P-10
5,1240163,27,Hennepin,MINNEAPOLIS W-2 P-01
5,1240164,27,Hennepin,MINNEAPOLIS W-2 P-02
5,1240165,27,Hennepin,MINNEAPOLIS W-2 P-03
5,1240166,27,Hennepin,MINNEAPOLIS W-2 P-04
5,1240167,27,Hennepin,MINNEAPOLIS W-2 P-05
